Counter: 102, GPS precision: 2.0000000000000000, Latitude: 1.3010259000000000, Longitude: 103.7900252999999964, Xcovariance: 2.3204278945922852, Ycovariance: 2.5334239006042480, Zcovariance: 15.7006511688232422
Counter: 103, GPS precision: 2.0000000000000000, Latitude: 1.3010268000000000, Longitude: 103.7900265999999903, Xcovariance: 2.3053824901580811, Ycovariance: 2.5152549743652344, Zcovariance: 15.5952100753784180
Counter: 104, GPS precision: 2.0000000000000000, Latitude: 1.3010275999999998, Longitude: 103.7900274999999937, Xcovariance: 2.2904822826385498, Ycovariance: 2.4977700710296631, Zcovariance: 15.4915428161621094
Counter: 105, GPS precision: 2.0000000000000000, Latitude: 1.3010283999999999, Longitude: 103.7900285999999994, Xcovariance: 2.2759850025177002, Ycovariance: 2.4826960563659668, Zcovariance: 15.4017705917358398
Counter: 106, GPS precision: 2.0000000000000000, Latitude: 1.3010291999999999, Longitude: 103.7900291999999922, Xcovariance: 2.2585833072662354, Ycovariance: 2.4607889652252197, Zcovariance: 15.2961044311523438
Counter: 107, GPS precision: 2.0000000000000000, Latitude: 1.3010298000000000, Longitude: 103.7900298999999933, Xcovariance: 2.2411704063415527, Ycovariance: 2.4396553039550781, Zcovariance: 15.1918544769287109
Counter: 108, GPS precision: 2.0000000000000000, Latitude: 1.3010305000000000, Longitude: 103.7900307999999967, Xcovariance: 2.2270069122314453, Ycovariance: 2.4245285987854004, Zcovariance: 15.1022472381591797
Counter: 109, GPS precision: 2.0000000000000000, Latitude: 1.3010313000000000, Longitude: 103.7900313999999895, Xcovariance: 2.2129282951354980, Ycovariance: 2.4096622467041016, Zcovariance: 15.0135612487792969
Counter: 110, GPS precision: 2.0000000000000000, Latitude: 1.3010316000000000, Longitude: 103.7900322999999929, Xcovariance: 2.1990587711334229, Ycovariance: 2.3951225280761719, Zcovariance: 14.9259014129638672
Counter: 111, GPS precision: 2.0000000000000000, Latitude: 1.3010318999999999, Longitude: 103.7900329999999940, Xcovariance: 2.1852049827575684, Ycovariance: 2.3807938098907471, Zcovariance: 14.8389759063720703
Counter: 112, GPS precision: 2.0000000000000000, Latitude: 1.3010322999999999, Longitude: 103.7900337999999891, Xcovariance: 2.1701750755310059, Ycovariance: 2.3662700653076172, Zcovariance: 14.7515964508056641
Counter: 113, GPS precision: 2.0000000000000000, Latitude: 1.3010328000000000, Longitude: 103.7900344999999902, Xcovariance: 2.1560187339782715, Ycovariance: 2.3555328845977783, Zcovariance: 14.6720142364501953
Counter: 114, GPS precision: 2.0000000000000000, Latitude: 1.3010332000000000, Longitude: 103.7900352999999996, Xcovariance: 2.1420800685882568, Ycovariance: 2.3446185588836670, Zcovariance: 14.5913619995117188
Counter: 115, GPS precision: 2.0000000000000000, Latitude: 1.3010336999999998, Longitude: 103.7900360000000006, Xcovariance: 2.1270999908447266, Ycovariance: 2.3291792869567871, Zcovariance: 14.5025253295898438
Counter: 116, GPS precision: 2.0000000000000000, Latitude: 1.3010339000000000, Longitude: 103.7900367999999958, Xcovariance: 2.1125955581665039, Ycovariance: 2.3140597343444824, Zcovariance: 14.4151668548583984
Counter: 117, GPS precision: 2.0000000000000000, Latitude: 1.3010343000000000, Longitude: 103.7900374999999968, Xcovariance: 2.0982229709625244, Ycovariance: 2.2989649772644043, Zcovariance: 14.3131828308105469
Counter: 118, GPS precision: 2.0000000000000000, Latitude: 1.3010347000000000, Longitude: 103.7900384999999943, Xcovariance: 2.0840268135070801, Ycovariance: 2.2841188907623291, Zcovariance: 14.2127923965454102
Counter: 119, GPS precision: 2.0000000000000000, Latitude: 1.3010354000000000, Longitude: 103.7900394999999918, Xcovariance: 2.0700829029083252, Ycovariance: 2.2697646617889404, Zcovariance: 14.1302165985107422
Counter: 120, GPS precision: 2.0000000000000000, Latitude: 1.3010359000000000, Longitude: 103.7900403999999952, Xcovariance: 2.0554995536804199, Ycovariance: 2.2538473606109619, Zcovariance: 14.0289859771728516
Counter: 121, GPS precision: 2.0000000000000000, Latitude: 1.3010363999999999, Longitude: 103.7900407999999999, Xcovariance: 2.0396773815155029, Ycovariance: 2.2383437156677246, Zcovariance: 13.9267826080322266
Counter: 122, GPS precision: 2.0000000000000000, Latitude: 1.3010367999999999, Longitude: 103.7900415999999950, Xcovariance: 2.0231342315673828, Ycovariance: 2.2228100299835205, Zcovariance: 13.8244552612304688
Counter: 123, GPS precision: 2.0000000000000000, Latitude: 1.3010371999999999, Longitude: 103.7900422000000020, Xcovariance: 1.9983297586441040, Ycovariance: 2.1952264308929443, Zcovariance: 13.6023817062377930
Counter: 124, GPS precision: 2.0000000000000000, Latitude: 1.3010374999999998, Longitude: 103.7900429999999972, Xcovariance: 1.9740489721298218, Ycovariance: 2.1681780815124512, Zcovariance: 13.3864459991455078
Counter: 125, GPS precision: 2.0000000000000000, Latitude: 1.3010378000000000, Longitude: 103.7900437999999923, Xcovariance: 1.9493789672851562, Ycovariance: 2.1400034427642822, Zcovariance: 13.1557693481445312
Counter: 126, GPS precision: 2.0000000000000000, Latitude: 1.3010378999999999, Longitude: 103.7900443999999993, Xcovariance: 1.9302706718444824, Ycovariance: 2.1215498447418213, Zcovariance: 13.0009613037109375
Counter: 127, GPS precision: 2.0000000000000000, Latitude: 1.3010379999999999, Longitude: 103.7900453999999968, Xcovariance: 1.9117405414581299, Ycovariance: 2.1026756763458252, Zcovariance: 12.8488912582397461
Counter: 128, GPS precision: 2.0000000000000000, Latitude: 1.3010381000000000, Longitude: 103.7900458999999955, Xcovariance: 1.8956522941589355, Ycovariance: 2.0861446857452393, Zcovariance: 12.7250032424926758
Counter: 129, GPS precision: 2.0000000000000000, Latitude: 1.3010382999999999, Longitude: 103.7900464999999883, Xcovariance: 1.8811966180801392, Ycovariance: 2.0703220367431641, Zcovariance: 12.6057109832763672
Counter: 130, GPS precision: 2.0000000000000000, Latitude: 1.3010385000000000, Longitude: 103.7900470000000013, Xcovariance: 1.8659695386886597, Ycovariance: 2.0552074909210205, Zcovariance: 12.4883050918579102
Counter: 131, GPS precision: 2.0000000000000000, Latitude: 1.3010386000000000, Longitude: 103.7900473999999917, Xcovariance: 1.8523252010345459, Ycovariance: 2.0421447753906250, Zcovariance: 12.3665580749511719
